Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Penyedia,Jasa Konsultansi,63095741,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Kajian Akselerasi Infrastruktur Mobile Broadband di daerah rural untuk Pendampingan Feasibility Study Swedfund Infrastruktur Mobile Broadband (DITAKSEL),DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Ya,APBN,2026,100000000
Swakelola,-,41521745,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Persiapan Kegiatan Penertiban Frekuensi Radio Luar Kota,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANJARMASIN,Tidak,APBN,2026,21000000
Penyedia,Jasa Lainnya,66179848,Tender,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Operasionalisasi dan Maintenance Layanan Aplikasi Pemerintah Digital,DIREKTORAT JENDERAL TEKNOLOGI PEMERINTAH DIGITAL,Ya,APBN,2026,5000000000
Penyedia,Barang,62112567,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Alat Monitoring Balmon Palu,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II PALU,Tidak,APBN,2026,149850000
Penyedia,Barang,63642598,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Meubelair Balmon Kelas I Samarinda,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I SAMARINDA,Ya,APBN,2026,153142000
Penyedia,Jasa Lainnya,66517013,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Sewa Lahan Transportable PT. Pos Properti,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II PONTIANAK,Ya,APBN,2026,90576000
Swakelola,-,42378569,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002245 - Belanja Honor Operasional Satuan Kerja - Penyusunan Tunjangan Kinerja Pegawai (SET),DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,72000000
Penyedia,Barang,65213834,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Laptop dan Ms. Office - LANID,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Ya,APBN,2026,160000000
Swakelola,-,43108307,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Operasional dan Pemeliharaan Kantor Balmon Jakarta,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I JAKARTA,Tidak,APBN,2026,3067280000
Penyedia,Barang,66139132,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Perangkat Pengolah Data UPT,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I TANGERANG,Tidak,APBN,2026,80000000
Swakelola,-,41889517,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001797 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Uang Harian - Monitoring dan Evaluasi Pengelolaan Komunikasi Publik terkait Program Pendidikan,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,14400000
Swakelola,-,42466116,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Paket Meeting Dalam Kota Dukungan Fasilitasi dan Pengembangan Inovasi AI dan Teknologi Baru,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Tidak,APBN,2026,63760000
Penyedia,Jasa Lainnya,66880843,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001272 - Belanja Jasa Lainnya - Workshop SKPD Bidang Komunikasi dan Digital - Pengelolaan Kemitraan Komunikasi dengan Kehumasan K/L,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,646000000
Penyedia,Barang,64824894,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"001235 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Paket meeting, penginapan, tiket, dan Transport - Pelaksanaan Koordinasi Kehumasan K/L",DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,242820000
Penyedia,Barang,66338216,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,ATK  dan Komputer Supplies,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,3149000
